Serial Number;205145
Device Identity;205145-10mH2O
Exported from File;C:\Users\vaw\Documents\KELLER\LOGGER_5\data\205145-10mH2O_26_08_2021-08_30_00.DX5
Record Start Time;26/08/2021 08:30:00

;;;;CH1;CH4;CH11
;;;;Pressure1;Temperature TOB1;Conductivity Raw
;;;;mbar;°C;mS/cm
No;;Date;Time;P1;TOB1;ConRaw
1;;26/08/2021;08:30:00;772,476;13,84;0,00000;
2;;26/08/2021;08:30:01;772,446;13,84;0,00000;
3;;26/08/2021;08:30:02;772,476;13,84;0,00000;
4;;26/08/2021;08:30:03;772,476;13,84;0,00000;
5;;26/08/2021;08:30:04;772,430;13,84;0,00000;
6;;26/08/2021;08:30:05;772,476;13,84;0,00000;
7;;26/08/2021;08:30:06;772,476;13,84;0,00000;
8;;26/08/2021;08:30:07;772,476;13,84;0,00000;
9;;26/08/2021;08:30:08;772,446;13,84;0,00000;
10;;26/08/2021;08:30:09;772,476;13,84;0,00000;
11;;26/08/2021;08:30:10;772,430;13,84;0,00000;
12;;26/08/2021;08:30:11;772,446;13,84;0,00000;
13;;26/08/2021;08:30:12;772,430;13,84;0,00000;
14;;26/08/2021;08:30:13;772,583;13,84;0,00000;
15;;26/08/2021;08:30:14;772,507;13,84;0,00000;
16;;26/08/2021;08:30:15;772,507;13,84;0,00000;
17;;26/08/2021;08:30:16;772,507;13,84;0,00000;
18;;26/08/2021;08:30:17;772,507;13,84;0,00000;
19;;26/08/2021;08:30:18;772,507;13,84;0,00000;
20;;26/08/2021;08:30:19;772,446;13,84;0,00000;
21;;26/08/2021;08:30:20;772,476;13,84;0,00000;
22;;26/08/2021;08:30:21;772,446;13,84;0,00000;
23;;26/08/2021;08:30:22;772,446;13,84;0,00000;
24;;26/08/2021;08:30:23;772,507;13,84;0,00000;
25;;26/08/2021;08:30:24;772,446;13,84;0,00000;
26;;26/08/2021;08:30:25;772,476;13,84;0,00000;
27;;26/08/2021;08:30:26;772,476;13,84;0,00000;
28;;26/08/2021;08:30:27;772,446;13,84;0,00000;
29;;26/08/2021;08:30:28;772,507;13,84;0,00000;
30;;26/08/2021;08:30:29;772,446;13,84;0,00000;
31;;26/08/2021;08:30:30;772,476;13,82;0,00000;
32;;26/08/2021;08:30:31;772,461;13,84;0,00000;
33;;26/08/2021;08:30:32;772,507;13,84;0,00000;
34;;26/08/2021;08:30:33;772,507;13,84;0,00000;
35;;26/08/2021;08:30:34;772,476;13,82;0,00000;
36;;26/08/2021;08:30:35;772,507;13,84;0,00000;
37;;26/08/2021;08:30:36;772,446;13,84;0,00000;
38;;26/08/2021;08:30:37;772,476;13,82;0,00000;
39;;26/08/2021;08:30:38;772,507;13,82;0,00000;
40;;26/08/2021;08:30:39;772,430;13,84;0,00000;
41;;26/08/2021;08:30:40;772,476;13,84;0,00000;
42;;26/08/2021;08:30:41;772,446;13,82;0,00000;
43;;26/08/2021;08:30:42;772,522;13,82;0,00000;
44;;26/08/2021;08:30:43;772,476;13,82;0,00000;
45;;26/08/2021;08:30:44;772,858;13,84;0,00000;
46;;26/08/2021;08:30:45;772,461;13,82;0,00000;
47;;26/08/2021;08:30:46;772,507;13,84;0,00000;
48;;26/08/2021;08:30:47;772,461;13,84;0,00000;
49;;26/08/2021;08:30:48;772,461;13,82;0,00000;
50;;26/08/2021;08:30:49;772,461;13,82;0,00000;
51;;26/08/2021;08:30:50;772,507;13,82;0,00000;
52;;26/08/2021;08:30:51;772,461;13,82;0,00000;
53;;26/08/2021;08:30:52;772,476;13,82;0,00000;
54;;26/08/2021;08:30:53;772,476;13,82;0,00000;
55;;26/08/2021;08:30:54;772,354;13,82;0,00000;
56;;26/08/2021;08:30:55;772,476;13,82;0,00000;
57;;26/08/2021;08:30:56;772,476;13,80;0,00000;
58;;26/08/2021;08:30:57;772,537;13,82;0,00000;
59;;26/08/2021;08:30:58;772,461;13,82;0,00000;
60;;26/08/2021;08:30:59;772,476;13,82;0,00000;
61;;26/08/2021;08:31:00;772,507;13,82;0,00000;
62;;26/08/2021;08:31:01;772,461;13,82;0,00000;
63;;26/08/2021;08:31:02;772,476;13,82;0,00000;
64;;26/08/2021;08:31:03;772,507;13,82;0,00000;
65;;26/08/2021;08:31:04;772,430;13,82;0,00000;
66;;26/08/2021;08:31:05;772,461;13,82;0,00000;
67;;26/08/2021;08:31:06;772,461;13,82;0,00000;
68;;26/08/2021;08:31:07;772,476;13,82;0,00000;
69;;26/08/2021;08:31:08;772,476;13,80;0,00000;
70;;26/08/2021;08:31:09;772,507;13,82;0,00000;
71;;26/08/2021;08:31:10;772,507;13,82;0,00000;
72;;26/08/2021;08:31:11;772,476;13,80;0,00000;
73;;26/08/2021;08:31:12;772,507;13,82;0,00000;
74;;26/08/2021;08:31:13;772,461;13,82;0,00000;
75;;26/08/2021;08:31:14;772,476;13,80;0,00000;
76;;26/08/2021;08:31:15;772,476;13,82;0,00000;
77;;26/08/2021;08:31:16;772,461;13,80;0,00000;
78;;26/08/2021;08:31:17;772,476;13,80;0,00000;
79;;26/08/2021;08:31:18;772,507;13,82;0,00000;
80;;26/08/2021;08:31:19;772,476;13,80;0,00000;
81;;26/08/2021;08:31:20;772,461;13,82;0,00000;
82;;26/08/2021;08:31:21;772,430;13,80;0,00000;
83;;26/08/2021;08:31:22;772,476;13,80;0,00000;
84;;26/08/2021;08:31:23;772,476;13,82;0,00000;
85;;26/08/2021;08:31:24;772,476;13,80;0,00000;
86;;26/08/2021;08:31:25;772,507;13,80;0,00000;
87;;26/08/2021;08:31:26;772,476;13,80;0,00000;
88;;26/08/2021;08:31:27;772,461;13,80;0,00000;
89;;26/08/2021;08:31:28;772,476;13,80;0,00000;
90;;26/08/2021;08:31:29;772,461;13,80;0,00000;
91;;26/08/2021;08:31:30;772,476;13,80;0,00000;
92;;26/08/2021;08:31:31;772,476;13,80;0,00000;
93;;26/08/2021;08:31:32;772,461;13,80;0,00000;
94;;26/08/2021;08:31:33;772,476;13,80;0,00000;
95;;26/08/2021;08:31:34;772,507;13,80;0,00000;
96;;26/08/2021;08:31:35;772,476;13,80;0,00000;
97;;26/08/2021;08:31:36;772,461;13,80;0,00000;
98;;26/08/2021;08:31:37;772,430;13,80;0,00000;
99;;26/08/2021;08:31:38;772,476;13,80;0,00000;
100;;26/08/2021;08:31:39;772,476;13,79;0,00000;
101;;26/08/2021;08:31:40;772,461;13,80;0,00000;
102;;26/08/2021;08:31:41;772,476;13,80;0,00000;
103;;26/08/2021;08:31:42;772,507;13,79;0,00000;
104;;26/08/2021;08:31:43;772,430;13,80;0,00000;
105;;26/08/2021;08:31:44;772,476;13,80;0,00000;
106;;26/08/2021;08:31:45;772,461;13,80;0,00000;
107;;26/08/2021;08:31:46;772,476;13,80;0,00000;
108;;26/08/2021;08:31:47;772,476;13,80;0,00000;
109;;26/08/2021;08:31:48;772,461;13,80;0,00000;
110;;26/08/2021;08:31:49;772,461;13,79;0,00000;
111;;26/08/2021;08:31:50;772,461;13,79;0,00000;
112;;26/08/2021;08:31:51;772,461;13,80;0,00000;
