No;Datetime [local time]Europe/Berlin;Datetime [UTC];P1 [bar] - 205309-100mH2O;TOB1 [°C] - 205309-100mH2O;Conductivity raw [mS/cm] - 205309-100mH2O
1;2026-08-19 08:30:00,0;2026-08-19T06:29:59,999Z;0,91311645508;21,8955078125;0,00041799247
2;2026-08-19 08:30:00,100;2026-08-19T06:30:00,999Z;0,91290283203;21,8955078125;0,00039710104
3;2026-08-19 08:30:01,100;2026-08-19T06:30:02,000Z;0,91288757324;21,8955078125;0,0004388839
4;2026-08-19 08:30:03,0;2026-08-19T06:30:03,000Z;0,9126739502;21,87841796875;0,00039710104
5;2026-08-19 08:30:04,0;2026-08-19T06:30:03,999Z;0,91246032715;21,8955078125;0,00038665533
6;2026-08-19 08:30:04,100;2026-08-19T06:30:04,999Z;0,91246032715;21,8955078125;0,00039710104
7;2026-08-19 08:30:05,100;2026-08-19T06:30:06,000Z;0,91246032715;21,8955078125;0,00039710104
8;2026-08-19 08:30:07,0;2026-08-19T06:30:06,999Z;0,91203308105;21,8955078125;0,00038665533
9;2026-08-19 08:30:08,0;2026-08-19T06:30:07,999Z;0,91203308105;21,8955078125;0,00039710104
10;2026-08-19 08:30:08,100;2026-08-19T06:30:08,999Z;0,91203308105;21,8955078125;0,00040754676
11;2026-08-19 08:30:09,100;2026-08-19T06:30:10,000Z;0,9118347168;21,8955078125;0,00039710104
12;2026-08-19 08:30:11,0;2026-08-19T06:30:11,000Z;0,91162109375;21,9111328125;0,00040754676
13;2026-08-19 08:30:12,0;2026-08-19T06:30:11,999Z;0,91181945801;21,9111328125;0,00041799247
14;2026-08-19 08:30:12,100;2026-08-19T06:30:13,000Z;0,91160583496;21,8955078125;0,00039710104
15;2026-08-19 08:30:13,100;2026-08-19T06:30:14,000Z;0,91160583496;21,8955078125;0,00039710104
16;2026-08-19 08:30:15,0;2026-08-19T06:30:14,999Z;0,91139221191;21,8955078125;0,00040754676
17;2026-08-19 08:30:15,100;2026-08-19T06:30:15,999Z;0,91096496582;21,9111328125;0,00040754676
18;2026-08-19 08:30:16,100;2026-08-19T06:30:17,000Z;0,91096496582;21,9111328125;0,00040754676
19;2026-08-19 08:30:18,0;2026-08-19T06:30:18,000Z;0,91096496582;21,8955078125;0,00041799247
20;2026-08-19 08:30:19,0;2026-08-19T06:30:18,999Z;0,91096496582;21,9111328125;0,00041799247
21;2026-08-19 08:30:20,0;2026-08-19T06:30:19,999Z;0,91076660156;21,9111328125;0,00037620217
22;2026-08-19 08:30:20,100;2026-08-19T06:30:21,000Z;0,91055297852;21,9111328125;0,00038665533
23;2026-08-19 08:30:22,0;2026-08-19T06:30:22,000Z;0,91055297852;21,8955078125;0,00040754676
24;2026-08-19 08:30:23,0;2026-08-19T06:30:22,999Z;0,91033935547;21,9111328125;0,00041799247
25;2026-08-19 08:30:23,100;2026-08-19T06:30:23,999Z;0,91033935547;21,9111328125;0,00040754676
26;2026-08-19 08:30:24,100;2026-08-19T06:30:25,000Z;0,91033935547;21,9111328125;0,00038665533
27;2026-08-19 08:30:26,0;2026-08-19T06:30:26,000Z;0,91014099121;21,8955078125;0,00040754676
28;2026-08-19 08:30:27,0;2026-08-19T06:30:26,999Z;0,90992736816;21,8955078125;0,00042843819
29;2026-08-19 08:30:27,100;2026-08-19T06:30:27,999Z;0,90992736816;21,9111328125;0,00040754676
30;2026-08-19 08:30:28,100;2026-08-19T06:30:29,000Z;0,90992736816;21,9111328125;0,00039710104
31;2026-08-19 08:30:30,0;2026-08-19T06:30:30,000Z;0,90971374512;21,9111328125;0,00039710104
32;2026-08-19 08:30:31,0;2026-08-19T06:30:30,999Z;0,90971374512;21,9111328125;0,00039710104
33;2026-08-19 08:30:31,100;2026-08-19T06:30:31,999Z;0,90948486328;21,9111328125;0,00039710104
34;2026-08-19 08:30:32,100;2026-08-19T06:30:33,000Z;0,90927124023;21,9111328125;0,00041799247
35;2026-08-19 08:30:34,0;2026-08-19T06:30:33,999Z;0,90907287598;21,8955078125;0,00036575645
36;2026-08-19 08:30:35,0;2026-08-19T06:30:34,999Z;0,90907287598;21,9111328125;0,00038665533
37;2026-08-19 08:30:35,100;2026-08-19T06:30:35,999Z;0,90907287598;21,9111328125;0,00040754676
38;2026-08-19 08:30:36,100;2026-08-19T06:30:37,000Z;0,90885925293;21,9111328125;0,00040754676
39;2026-08-19 08:30:38,0;2026-08-19T06:30:38,000Z;0,90885925293;21,9111328125;0,00038665533
40;2026-08-19 08:30:39,0;2026-08-19T06:30:38,999Z;0,90864562988;21,8955078125;0,00039710104
41;2026-08-19 08:30:39,100;2026-08-19T06:30:40,000Z;0,90864562988;21,8955078125;0,00041799247
42;2026-08-19 08:30:40,100;2026-08-19T06:30:41,000Z;0,90843200684;21,9111328125;0,00039710104
43;2026-08-19 08:30:42,0;2026-08-19T06:30:41,999Z;0,90821838379;21,9111328125;0,00039710104
44;2026-08-19 08:30:42,100;2026-08-19T06:30:42,999Z;0,90821838379;21,9111328125;0,00040754676
