No;Datetime [local time]Europe/Berlin;Datetime [UTC];P1 [bar] - 207265-300mH2O;TOB1 [°C] - 207265-300mH2O;Conductivity raw [mS/cm] - 207265-300mH2O
36906;2026-08-19 18:45:05,0;2026-08-19T16:45:04,999Z;0,78909301758;21,24462890625;0,00017117709
36907;2026-08-19 18:45:05,100;2026-08-19T16:45:05,999Z;0,78909301758;21,24462890625;0,00016047806
36908;2026-08-19 18:45:06,100;2026-08-19T16:45:07,000Z;0,78845214844;21,24462890625;0,00016047806
36909;2026-08-19 18:45:08,0;2026-08-19T16:45:08,000Z;0,78970336914;21,24462890625;0,00017117709
36910;2026-08-19 18:45:09,0;2026-08-19T16:45:08,999Z;0,78907775879;21,24462890625;0,00017117709
36911;2026-08-19 18:45:09,100;2026-08-19T16:45:09,999Z;0,78907775879;21,24462890625;0,00017117709
36912;2026-08-19 18:45:10,100;2026-08-19T16:45:11,000Z;0,78907775879;21,24462890625;0,00017117709
36913;2026-08-19 18:45:12,0;2026-08-19T16:45:12,000Z;0,78907775879;21,24462890625;0,00016047806
36914;2026-08-19 18:45:13,0;2026-08-19T16:45:12,999Z;0,78907775879;21,24462890625;0,00016047806
36915;2026-08-19 18:45:13,100;2026-08-19T16:45:13,999Z;0,78907775879;21,24462890625;0,00016047806
36916;2026-08-19 18:45:14,100;2026-08-19T16:45:15,000Z;0,78907775879;21,24462890625;0,00017117709
36917;2026-08-19 18:45:16,0;2026-08-19T16:45:15,999Z;0,78845214844;21,24462890625;0,00016047806
36918;2026-08-19 18:45:17,0;2026-08-19T16:45:16,999Z;0,78907775879;21,24462890625;0,00016047806
36919;2026-08-19 18:45:17,100;2026-08-19T16:45:18,000Z;0,78907775879;21,24462890625;0,00016047806
36920;2026-08-19 18:45:18,100;2026-08-19T16:45:19,000Z;0,78907775879;21,24462890625;0,00016047806
36921;2026-08-19 18:45:20,0;2026-08-19T16:45:20,000Z;0,78907775879;21,24462890625;0,00017117709
36922;2026-08-19 18:45:21,0;2026-08-19T16:45:20,999Z;0,78970336914;21,24462890625;0,00014978275
36923;2026-08-19 18:45:21,100;2026-08-19T16:45:22,000Z;0,78907775879;21,24462890625;0,00016047806
36924;2026-08-19 18:45:22,100;2026-08-19T16:45:23,000Z;0,78907775879;21,228515625;0,00016047806
