No;Datetime [local time]Europe/Berlin;Datetime [UTC];P1 [bar] - 205309-100mH2O;TOB1 [°C] - 205309-100mH2O;Conductivity raw [mS/cm] - 205309-100mH2O
1;2026-08-20 08:30:00,0;2026-08-20T06:29:59,999Z;0,7735748291;16,91796875;0,00041799247
2;2026-08-20 08:30:00,100;2026-08-20T06:30:00,999Z;0,77336120605;16,91796875;0,00041799247
3;2026-08-20 08:30:01,100;2026-08-20T06:30:02,000Z;0,77314758301;16,91796875;0,00041799247
4;2026-08-20 08:30:03,0;2026-08-20T06:30:03,000Z;0,7735748291;16,93505859375;0,00040754676
5;2026-08-20 08:30:04,0;2026-08-20T06:30:03,999Z;0,77336120605;16,91796875;0,00041799247
6;2026-08-20 08:30:04,100;2026-08-20T06:30:04,999Z;0,77336120605;16,91796875;0,00041799247
7;2026-08-20 08:30:05,100;2026-08-20T06:30:06,000Z;0,77314758301;16,91796875;0,00041799247
8;2026-08-20 08:30:07,0;2026-08-20T06:30:06,999Z;0,77314758301;16,91796875;0,00041799247
9;2026-08-20 08:30:08,0;2026-08-20T06:30:07,999Z;0,77336120605;16,91796875;0,00041799247
10;2026-08-20 08:30:08,100;2026-08-20T06:30:08,999Z;0,77336120605;16,91796875;0,00040754676
11;2026-08-20 08:30:09,100;2026-08-20T06:30:10,000Z;0,77293395996;16,91796875;0,00041799247
12;2026-08-20 08:30:11,0;2026-08-20T06:30:11,000Z;0,77293395996;16,91796875;0,00041799247
13;2026-08-20 08:30:12,0;2026-08-20T06:30:11,999Z;0,77293395996;16,91796875;0,00041799247
14;2026-08-20 08:30:12,100;2026-08-20T06:30:13,000Z;0,77314758301;16,9013671875;0,00041799247
15;2026-08-20 08:30:13,100;2026-08-20T06:30:14,000Z;0,77336120605;16,91796875;0,00040754676
16;2026-08-20 08:30:15,0;2026-08-20T06:30:14,999Z;0,77314758301;16,9013671875;0,00041799247
17;2026-08-20 08:30:15,100;2026-08-20T06:30:15,999Z;0,77314758301;16,91796875;0,00041799247
18;2026-08-20 08:30:16,100;2026-08-20T06:30:17,000Z;0,77314758301;16,91796875;0,00041799247
19;2026-08-20 08:30:18,0;2026-08-20T06:30:18,000Z;0,77294921875;16,91796875;0,00040754676
20;2026-08-20 08:30:19,0;2026-08-20T06:30:18,999Z;0,77314758301;16,9013671875;0,00041799247
21;2026-08-20 08:30:20,0;2026-08-20T06:30:19,999Z;0,77314758301;16,91796875;0,00041799247
22;2026-08-20 08:30:20,100;2026-08-20T06:30:21,000Z;0,77314758301;16,91796875;0,00040754676
23;2026-08-20 08:30:22,0;2026-08-20T06:30:22,000Z;0,77314758301;16,91796875;0,00041799247
24;2026-08-20 08:30:23,0;2026-08-20T06:30:22,999Z;0,77336120605;16,91796875;0,00041799247
25;2026-08-20 08:30:23,100;2026-08-20T06:30:23,999Z;0,77314758301;16,91796875;0,00041799247
