Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
Multi 3620 IDS; 22490970;1;09.05.2093 14:29:28;338;µS/cm;Cond;25.1;°C;Temp;;;C = 0.475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;1;09.05.2093 14:29:29;338;µS/cm;Cond;25.1;°C;Temp;;;C = 0.475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;1;09.05.2093 14:29:30;338;µS/cm;Cond;25.1;°C;Temp;;;C = 0.475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;1;09.05.2093 14:29:31;338;µS/cm;Cond;25.1;°C;Temp;;;C = 0.475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;1;09.05.2093 14:29:32;338;µS/cm;Cond;25.1;°C;Temp;;;C = 0.475 1/cm   Tref25   nLF;TetraCon 925-P; 16201702;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:18;3.7;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:19;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:20;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:21;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:22;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:23;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:24;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:25;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:26;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:27;3.8;µS/cm;Cond;1.2;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:28;2.7;µS/cm;Cond;1.2;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:29;1.5;µS/cm;Cond;1.2;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:30;1.9;µS/cm;Cond;1.2;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:31;3.0;µS/cm;Cond;1.2;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:32;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:33;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:34;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:35;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:36;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:37;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:38;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:39;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:40;3.8;µS/cm;Cond;1.1;°C;Temp;;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:41;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:42;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:43;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:44;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:45;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:46;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:47;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:48;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:49;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:50;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:51;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:52;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:53;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:54;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:55;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:56;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:57;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:58;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:57:59;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:00;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:01;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:02;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:03;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:04;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:05;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:06;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:07;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:08;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:09;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:10;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:11;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:12;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:13;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:14;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:15;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:16;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:17;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:18;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:19;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:20;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:21;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:22;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:23;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:24;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:25;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:26;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:27;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:28;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:29;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:30;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:31;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:32;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:33;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:34;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:35;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:36;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:37;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:38;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
Multi 3620 IDS; 22490970;1;10.05.2093 16:58:39;3.8;µS/cm;Cond;1.1;°C;Temp;AR;+++;C = 0.466 1/cm   Tref25   nLF;TetraCon 925-P; 16210277;
